Cycle,Min,Max
0,604,779
1,666,698
2,636,680
3,638,704
4,607,709
5,599,656
6,613,779
7,598,765
8,608,770
9,616,684
10,677,712
11,692,720
12,670,778
13,656,779
14,672,779
15,669,779
16,675,779
17,701,779
18,683,781
19,684,774
20,705,730
21,632,746
22,632,682
23,617,667
24,613,671
25,598,631
26,603,658
27,610,779
28,628,763
29,642,779
30,677,780
31,690,777
32,651,722
33,650,779
34,657,776
35,636,666
36,645,687
37,660,703
38,674,776
39,697,755
40,678,772
41,692,780
42,691,780
43,668,782
44,670,780
45,643,775
46,668,776
47,652,776
48,643,779
49,695,756
50,638,745
51,708,779
52,638,731
53,626,779
54,655,724
55,701,775
56,696,779
57,707,778
58,730,767
59,674,750
60,614,709
61,592,620
62,593,638
63,611,666
64,636,657
65,590,660
66,641,730
67,658,763
68,690,749
69,674,760
70,656,746
71,648,758
72,618,665
73,609,728
74,646,767
75,681,752
76,680,769
77,669,748
78,643,761
79,637,728
80,633,728
81,609,719
82,693,752
83,669,768
84,695,747
85,669,763
86,641,760
87,668,772
88,613,696
89,618,699
90,661,740
91,638,708
92,670,761
93,665,759
94,654,775
95,663,761
96,696,758
97,704,766
98,690,722
99,655,729
100,622,657
101,645,689
102,646,754
103,698,751
104,607,732
105,606,637
106,613,650
107,620,684
108,671,759
109,676,775
110,653,774
111,654,701
112,671,745
113,681,708
114,657,705
115,645,719
116,648,719
117,640,689
118,629,714
119,629,712
120,632,658
121,620,656
122,642,675
123,596,687
124,622,642
125,621,664
126,630,758
127,665,759
128,633,665
129,628,653
130,628,664
131,639,739
132,690,769
133,698,733
134,677,776
135,682,771
136,665,757
137,672,772
138,625,777
139,666,736
140,653,748
141,672,761
142,651,691
143,663,688
144,658,677
145,654,694
146,624,686
147,634,691
148,605,645
149,602,655
150,606,651
151,611,638
152,603,650
153,599,648
154,621,664
155,566,669
156,614,700
157,655,708
158,640,712
159,614,683
160,637,650
161,614,663
162,621,655
163,592,624
164,568,598
165,598,623
166,619,664
167,637,667
168,637,659
169,642,664
170,627,659
171,644,693
172,685,698
173,618,696
174,611,688
175,615,681
176,567,624
177,546,569
178,563,600
179,582,606
180,600,617
181,582,604
182,599,739
183,647,711
184,620,707
185,607,697
186,609,651
187,611,649
188,603,718
189,631,717
190,654,731
191,647,754
192,679,746
193,606,719
194,588,655
195,581,725
196,594,763
197,624,745
198,644,690
199,609,662
200,600,644
201,590,635
202,613,678
203,678,776
204,612,747
205,643,689
206,577,668
207,596,636
208,617,646
209,627,656
210,614,655
211,575,636
212,593,737
213,627,715
214,647,682
215,624,685
216,630,668
217,575,727
218,656,766
219,640,700
220,648,701
221,659,701
222,667,706
223,622,721
224,671,720
225,629,719
226,673,740
227,579,740
228,630,650
229,610,653
230,669,708
231,678,723
232,616,719
233,629,719
234,613,737
235,620,756
236,681,773
237,640,726
238,608,718
239,625,682
240,642,706
241,618,700
242,638,701
243,625,702
244,623,729
245,664,776
246,620,731
247,612,686
248,639,685
249,611,669
250,578,669
251,605,685
252,563,738
253,621,776
254,572,703
255,641,727
256,663,780
257,629,753
258,583,664
259,551,698
260,592,704
261,608,680
262,606,690
263,663,728
264,639,780
265,659,775
266,654,770
267,661,771
268,673,776
269,655,773
270,690,765
271,695,776
272,602,773
273,613,717
274,617,766
275,659,762
276,597,775
277,676,757
278,641,749
279,639,711
280,695,762
281,682,771
282,646,775
283,651,781
284,635,780
285,707,778
286,632,710
287,588,690
288,654,756
289,675,701
290,620,775
291,654,776
292,670,755
293,648,776
294,676,763
295,688,780
296,634,780
297,629,738
298,630,690
299,601,711
300,629,709
301,645,708
302,659,722
303,665,707
304,644,711
305,630,705
306,625,778
307,636,780
308,626,776
309,640,760
310,667,696
311,633,696
312,590,754
313,680,752
314,640,756
315,645,671
316,669,697
317,671,715
318,619,728
319,662,731
320,615,727
321,587,707
322,635,742
323,655,676
324,592,700
325,632,702
326,604,702
327,642,776
328,643,706
329,657,756
330,663,699
331,627,663
332,628,776
333,596,776
334,607,692
335,641,698
336,646,688
337,644,689
338,682,700
339,654,682
340,660,680
341,633,775
342,623,702
343,612,659
344,646,671
345,661,681
346,626,752
347,614,732
348,642,665
349,660,694
350,611,691
351,617,653
352,636,688
353,672,776
354,614,672
355,587,647
356,604,654
357,628,768
358,670,766
359,671,790
360,666,707
361,644,779
362,706,779
363,0,718
